,from_tag,from_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_date,diff_dates,diff_days
2326,4.5.5,2015-07-30 10:02:58,cc8a9472c671598fb3158b51b15863448a477a50,12d931e5a31e1692a428bbb34ba11cd63aebf998,16,0,4.5.6,2015-10-16 09:31:18,77 days 23:28:20,77.97800925925925
2315,4.5.6,2015-10-16 09:31:18,12d931e5a31e1692a428bbb34ba11cd63aebf998,e2afb0bff1b8be759789d2c1bc9348de6f519f83,7,0,4.5.7,2016-04-08 13:44:39,175 days 04:13:21,175.1759375
2276,5.1,2015-04-02 08:09:45,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,7,0,5.1.1,2015-06-02 08:34:06,61 days 00:24:21,61.01690972222222
2290,5.1-RC2,2015-03-23 15:22:47,dfc9f94b72103ee941cc11da6529623fa91df509,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,17,0,5.1,2015-04-02 08:09:45,9 days 16:46:58,9.699282407407408
2261,5.1.1,2015-06-02 08:34:06,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,12,0,5.1.2,2015-07-27 08:03:21,54 days 23:29:15,54.97864583333333
2245,5.1.2,2015-07-27 08:03:21,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,2762,0,5.2-RC1,2015-10-12 15:58:42,77 days 07:55:21,77.33010416666667
2191,5.2,2015-11-02 08:56:19,f045be98be3ba032b6b19d71574038eeeb91803b,c979578645aaf77c447b250136db32a7067619a1,513,0,5.3-RC1,2015-12-09 12:47:34,37 days 03:51:15,37.16059027777778
2228,5.2-RC1,2015-10-12 15:58:42,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,4,0,5.2-RC2,2015-10-13 10:06:23,0 days 18:07:41,0.7553356481481481
2210,5.2-RC2,2015-10-13 10:06:23,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,ef358b002383f918448dcb5e8ac40b64a35a4c26,56,0,5.2-RC3,2015-10-20 13:47:33,7 days 03:41:10,7.153587962962963
2172,5.2-RC3,2015-10-20 13:47:33,ef358b002383f918448dcb5e8ac40b64a35a4c26,f045be98be3ba032b6b19d71574038eeeb91803b,31,0,5.2,2015-11-02 08:56:19,12 days 19:08:46,12.797754629629631
2153,5.3-RC1,2015-12-09 12:47:34,c979578645aaf77c447b250136db32a7067619a1,29a84111f6cc9298f83df515830ff40a41d0976c,40,1,5.3-RC2,2015-12-17 16:02:01,8 days 03:14:27,8.135034722222223
2098,5.3-RC2,2015-12-17 16:02:01,29a84111f6cc9298f83df515830ff40a41d0976c,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,53,0,5.4-M2,2015-12-28 12:01:19,10 days 19:59:18,10.832847222222224
2134,5.3-RC2,2015-12-17 16:02:01,29a84111f6cc9298f83df515830ff40a41d0976c,e735681d1b11ff0e90c254a3b5302e290ffa05a6,7,0,5.3-RC3,2016-01-07 13:18:48,20 days 21:16:47,20.886655092592594
2115,5.3-RC3,2016-01-07 13:18:48,e735681d1b11ff0e90c254a3b5302e290ffa05a6,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,2,0,5.3,2016-01-08 10:09:15,0 days 20:50:27,0.8683680555555555
1916,5.4-M10,2016-01-28 16:10:59,bea2847df13b73c7364193419873e3e8b47b5b73,84d4f441879de01734bb9041fc0cdfbd461386ee,37,0,5.4-M11,2016-02-01 14:45:36,3 days 22:34:37,3.9407060185185183
1895,5.4-M11,2016-02-01 14:45:36,84d4f441879de01734bb9041fc0cdfbd461386ee,ca8c711145a11e61a3c6571cef38cf8d53b5d423,61,0,5.4-M12,2016-02-03 12:52:05,1 days 22:06:29,1.9211689814814812
1874,5.4-M12,2016-02-03 12:52:05,ca8c711145a11e61a3c6571cef38cf8d53b5d423,27858608f46ae9f1cd2c2269151e68f56f882417,28,0,5.4-M13,2016-02-05 10:17:45,1 days 21:25:40,1.892824074074074
1853,5.4-M13,2016-02-05 10:17:45,27858608f46ae9f1cd2c2269151e68f56f882417,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,22,0,5.4-RC1,2016-02-09 11:54:50,4 days 01:37:05,4.067418981481482
1751,5.4-M14,2016-02-11 09:49:41,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,e8f951d9f2a99975e31f82d97fce68f47e9242d3,9,0,5.4-RC2,2016-02-15 15:38:37,4 days 05:48:56,4.242314814814815
2077,5.4-M2,2015-12-28 12:01:19,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,17,0,5.4-M3,2016-01-06 09:52:46,8 days 21:51:27,8.910729166666666
2058,5.4-M3,2016-01-06 09:52:46,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,eaf7b87bb681e86ebef1778039de929c211b1f99,40,0,5.4-M4,2016-01-12 10:43:56,6 days 00:51:10,6.035532407407408
2018,5.4-M4,2016-01-12 10:43:56,eaf7b87bb681e86ebef1778039de929c211b1f99,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,40,0,5.4-M5,2016-01-14 07:41:56,1 days 20:58:00,1.8736111111111111
2040,5.4-M5,2016-01-14 07:41:56,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,868e4d9403268e0f17235e1993496e92cb8883be,15,0,5.4-M6,2016-01-15 08:27:52,1 days 00:45:56,1.0318981481481482
1998,5.4-M6,2016-01-15 08:27:52,868e4d9403268e0f17235e1993496e92cb8883be,366217e521da38a4b17f7e6ada0f4d6612475580,5,0,5.4-M7,2016-01-14 10:05:29,-1 days +01:37:37,-0.932210648148148
1979,5.4-M7,2016-01-14 10:05:29,366217e521da38a4b17f7e6ada0f4d6612475580,162d76a0e6964f1d42069b42ce0362fedd151f75,23,0,5.4-M8,2016-01-18 08:43:40,3 days 22:38:11,3.94318287037037
1958,5.4-M8,2016-01-18 08:43:40,162d76a0e6964f1d42069b42ce0362fedd151f75,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,37,0,5.4-M9,2016-01-21 08:29:19,2 days 23:45:39,2.9900347222222217
1937,5.4-M9,2016-01-21 08:29:19,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,bea2847df13b73c7364193419873e3e8b47b5b73,36,0,5.4-M10,2016-01-28 16:10:59,7 days 07:41:40,7.320601851851853
1796,5.4-RC1,2016-02-09 11:54:50,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,3,0,5.4-M14,2016-02-11 09:49:41,1 days 21:54:51,1.9130902777777776
1797,5.4-RC1,2016-02-09 11:54:50,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,3,0,5.4-M1,2016-02-11 09:49:41,1 days 21:54:51,1.9130902777777776
1729,5.4-RC2,2016-02-15 15:38:37,e8f951d9f2a99975e31f82d97fce68f47e9242d3,19310ef05676362f6b88be6d1edc22a12af372b4,11,0,5.4-RC3,2016-03-01 09:36:10,14 days 17:57:33,14.748298611111109
1669,5.4-RC2,2016-02-15 15:38:37,e8f951d9f2a99975e31f82d97fce68f47e9242d3,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,36,1,5.5-M1,2016-02-12 15:43:47,-3 days +00:05:10,-2.996412037037037
1708,5.4-RC3,2016-03-01 09:36:10,19310ef05676362f6b88be6d1edc22a12af372b4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,7,0,5.4-RC4,2016-03-04 16:25:47,3 days 06:49:37,3.2844560185185183
1687,5.4-RC4,2016-03-04 16:25:47,ca9cfe39623b1ae2fdab458348f1b92838b7f151,7b02df9be3cd9448699b5857586e1c6e2b28c007,3,0,5.4,2016-03-08 15:48:19,3 days 23:22:32,3.9739814814814816
1372,5.5,2016-05-02 14:09:29,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,a28bb3e5d6988747f1bcd7896be07a6afe56914f,318,0,5.6-RC1,2016-05-20 11:21:25,17 days 21:11:56,17.883287037037032
1645,5.5-M1,2016-02-12 15:43:47,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,1792451e5e318a0cfb2e0085115d4c68f8025828,32,0,5.5-M2,2016-02-17 14:21:51,4 days 22:38:04,4.943101851851852
1505,5.5-M10,2016-03-14 13:09:03,63e3178d2c454d17a7c507a0efca93770be40d41,c5be77384198f6dd7de51a6d275dd1b5ae036daa,159,0,5.5-M11,2016-03-25 09:46:57,10 days 20:37:54,10.859652777777775
1486,5.5-M11,2016-03-25 09:46:57,c5be77384198f6dd7de51a6d275dd1b5ae036daa,4aa44f864269fb77e1e57c54e15ba913359d383d,75,0,5.5-M12,2016-03-31 14:29:42,6 days 04:42:45,6.1963541666666675
1467,5.5-M12,2016-03-31 14:29:42,4aa44f864269fb77e1e57c54e15ba913359d383d,c6c159847040bd5183c9ceb1df80553c6b2f3396,7,0,5.5-M13,2016-04-01 16:18:35,1 days 01:48:53,1.075613425925926
1448,5.5-M13,2016-04-01 16:18:35,c6c159847040bd5183c9ceb1df80553c6b2f3396,0bac18d71ccd2504254cd82c89ea208320a5fb30,13,0,5.5-M14,2016-04-05 09:46:02,3 days 17:27:27,3.7273958333333335
1429,5.5-M14,2016-04-05 09:46:02,0bac18d71ccd2504254cd82c89ea208320a5fb30,4c34f8c245f13967643c7ec5cd24d0d06903c44f,37,0,5.5-RC1,2016-04-07 13:38:57,2 days 03:52:55,2.161747685185185
1624,5.5-M2,2016-02-17 14:21:51,1792451e5e318a0cfb2e0085115d4c68f8025828,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,6,0,5.5-M3,2016-02-18 15:47:35,1 days 01:25:44,1.059537037037037
1603,5.5-M3,2016-02-18 15:47:35,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,28,0,5.5-M4,2016-02-22 21:19:15,4 days 05:31:40,4.2303240740740735
1582,5.5-M4,2016-02-22 21:19:15,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,27,0,5.5-M5,2016-02-26 08:50:59,3 days 11:31:44,3.4803703703703706
1562,5.5-M5,2016-02-26 08:50:59,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,50cc345d65a5efa7321def634af7b1af130a5990,114,0,5.5-M6,2016-03-02 14:02:34,5 days 05:11:35,5.216377314814816
1543,5.5-M6,2016-03-02 14:02:34,50cc345d65a5efa7321def634af7b1af130a5990,dd17d404a9b1440d45f12e25ad41f294b6b56a34,24,0,5.5-M7,2016-03-04 16:01:31,2 days 01:58:57,2.0826041666666666
1524,5.5-M7,2016-03-04 16:01:31,dd17d404a9b1440d45f12e25ad41f294b6b56a34,63e3178d2c454d17a7c507a0efca93770be40d41,122,0,5.5-M10,2016-03-14 13:09:03,9 days 21:07:32,9.88023148148148
1410,5.5-RC1,2016-04-07 13:38:57,4c34f8c245f13967643c7ec5cd24d0d06903c44f,23454578ad135cd6d2280d04198a4d5eacf20979,64,0,5.5-RC2,2016-04-28 06:45:25,20 days 17:06:28,20.712824074074074
1391,5.5-RC2,2016-04-28 06:45:25,23454578ad135cd6d2280d04198a4d5eacf20979,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,3,0,5.5,2016-05-02 14:09:29,4 days 07:24:04,4.30837962962963
1315,5.6,2016-06-01 11:59:09,074f3d1169f9688d15af4aff67e7e672cbeed782,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,32,0,5.6.1,2016-07-25 08:13:12,53 days 20:14:03,53.843090277777776
1189,5.6,2016-06-01 11:59:09,074f3d1169f9688d15af4aff67e7e672cbeed782,41affbb82c5e897eea64f77538ce4b20322ba61c,480,0,6.0-RC1,2016-07-20 08:30:19,48 days 20:31:10,48.85497685185185
1353,5.6-RC1,2016-05-20 11:21:25,a28bb3e5d6988747f1bcd7896be07a6afe56914f,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,24,0,5.6-RC2,2016-05-27 15:14:46,7 days 03:53:21,7.162048611111112
1334,5.6-RC2,2016-05-27 15:14:46,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,074f3d1169f9688d15af4aff67e7e672cbeed782,7,0,5.6,2016-06-01 11:59:09,4 days 20:44:23,4.8641550925925925
1296,5.6.1,2016-07-25 08:13:12,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,9c1c190107023ffca5f67d6d0184ff5371c5347f,25,0,5.6.2,2016-09-19 14:34:40,56 days 06:21:28,56.26490740740741
1277,5.6.2,2016-09-19 14:34:40,9c1c190107023ffca5f67d6d0184ff5371c5347f,a68d912046cfbbe3f9d1493ab53414face1adae2,13,0,5.6.3,2016-10-03 13:56:53,13 days 23:22:13,13.973761574074073
1258,5.6.3,2016-10-03 13:56:53,a68d912046cfbbe3f9d1493ab53414face1adae2,52298794f1a34a4fd713ff8d441a0c13432e40a9,17,0,5.6.4,2016-12-12 10:11:54,69 days 20:15:01,69.84376157407408
1239,5.6.4,2016-12-12 10:11:54,52298794f1a34a4fd713ff8d441a0c13432e40a9,29a8d73d1b3fb39fd35c777bf07be40873391517,11,0,5.6.5,2017-01-18 16:19:42,37 days 06:07:48,37.25541666666667
1220,5.6.5,2017-01-18 16:19:42,29a8d73d1b3fb39fd35c777bf07be40873391517,05221592672b903c703c0424dc77458e615c106d,3,0,5.6.6,2017-02-16 20:34:26,29 days 04:14:44,29.17689814814815
1201,5.6.6,2017-02-16 20:34:26,05221592672b903c703c0424dc77458e615c106d,3de1bdeb3255fedc75885313205143f28aa89e9c,10,0,5.6.7,2017-09-25 10:46:49,220 days 14:12:23,220.5919328703704
