,actual_release_date,Tag,Sha,Date,month,year,major_version,jira_version
0,,4.5.6,12d931e5a31e1692a428bbb34ba11cd63aebf998,2015-10-16 09:31:18,10,2015,4,4.5.6
1,,4.5.7,e2afb0bff1b8be759789d2c1bc9348de6f519f83,2016-04-08 13:44:39,4,2016,4,4.5.7
2,2015-04-23 00:00:00,5.1,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,2015-04-02 08:09:45,4,2015,5,5.1
3,,5.1.1,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2015-06-02 08:34:06,6,2015,5,5.1.1
4,,5.1.2,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,2015-07-27 08:03:21,7,2015,5,5.1.2
5,2015-11-26 00:00:00,5.2,f045be98be3ba032b6b19d71574038eeeb91803b,2015-11-02 08:56:19,11,2015,5,5.2
6,2016-01-28 00:00:00,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,2016-01-08 10:09:15,1,2016,5,5.3
7,2016-04-01 00:00:00,5.4,7b02df9be3cd9448699b5857586e1c6e2b28c007,2016-03-08 15:48:19,3,2016,5,5.4
8,2016-05-19 00:00:00,5.5,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,2016-05-02 14:09:29,5,2016,5,5.5
9,2016-06-08 00:00:00,5.6,074f3d1169f9688d15af4aff67e7e672cbeed782,2016-06-01 11:59:09,6,2016,5,5.6
10,,5.6.1,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,2016-07-25 08:13:12,7,2016,5,5.6.1
11,,5.6.2,9c1c190107023ffca5f67d6d0184ff5371c5347f,2016-09-19 14:34:40,9,2016,5,5.6.2
12,,5.6.3,a68d912046cfbbe3f9d1493ab53414face1adae2,2016-10-03 13:56:53,10,2016,5,5.6.3
13,,5.6.4,52298794f1a34a4fd713ff8d441a0c13432e40a9,2016-12-12 10:11:54,12,2016,5,5.6.4
14,,5.6.5,29a8d73d1b3fb39fd35c777bf07be40873391517,2017-01-18 16:19:42,1,2017,5,5.6.5
15,,5.6.6,05221592672b903c703c0424dc77458e615c106d,2017-02-16 20:34:26,2,2017,5,5.6.6
16,,5.6.7,3de1bdeb3255fedc75885313205143f28aa89e9c,2017-09-25 10:46:49,9,2017,5,5.6.7
17,2016-08-16 00:00:00,6.0,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,2016-08-03 09:19:42,8,2016,6,6.0
18,2016-10-25 00:00:00,6.1,442f1a11b2365618f58f3f456a756995a6318225,2016-10-11 07:02:29,10,2016,6,6.1
19,,6.1.1,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,2016-11-17 19:45:38,11,2016,6,6.1.1
20,2017-01-05 00:00:00,6.2,4a28f29f95254b58f3cf0a0871bc632e998403f5,2016-12-13 15:05:23,12,2016,6,6.2
21,2017-04-12 00:00:00,6.3,43ea4f4c43aa89d4c435017f86d0da254e115e6b,2017-03-14 09:12:39,3,2017,6,6.3
25,,6.3.1,54be39f47d188340b14d4d9236bbf3d43b1db2ae,2017-04-11 12:44:29,4,2017,6,6.3.1
26,,6.3.2,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,2017-04-24 08:51:14,4,2017,6,6.3.2
27,2017-06-29 00:00:00,6.4,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,2017-06-02 08:32:25,6,2017,6,6.4
28,2017-08-10 00:00:00,6.5,ef2ca5b33e5795b841d45e0b20fef3cb90391719,2017-08-01 11:58:54,8,2017,6,6.5
30,2017-10-20 00:00:00,6.6,353296630a2d150f48c76183e82188dfcaa42df0,2017-10-20 12:09:25,10,2017,6,6.6
31,2017-11-08 00:00:00,6.7,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,2017-11-07 15:03:37,11,2017,6,6.7
32,,6.7.1,426519346f51f7b980a76f9050f983110550509d,2017-12-20 16:32:02,12,2017,6,6.7.1
33,,6.7.2,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,2018-02-22 16:56:57,2,2018,6,6.7.2
34,,6.7.3,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,2018-04-06 14:12:21,4,2018,6,6.7.3
35,,6.7.4,b62b59da1adf991c41ed0730684f813d4116f6cc,2018-05-30 07:23:04,5,2018,6,6.7.4
36,,6.7.5,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,2018-08-06 10:17:09,8,2018,6,6.7.5
37,,6.7.6,302f75de1ec5df6e983970f3c76b86ee02b1cd26,2018-11-19 15:51:14,11,2018,6,6.7.6
38,,6.7.7,4aa6d928f960303eb990d50c275513a517c85e69,2019-04-16 15:38:04,4,2019,6,6.7.7
39,2019-07-01 00:00:00,7.0,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,2018-02-02 12:20:31,2,2018,7,7.0
40,2019-07-01 00:00:00,7.1,ecdde3879059a41f229782061bdad49677dd63f8,2018-03-23 20:20:52,3,2018,7,7.1
41,2018-06-18 00:00:00,7.2,d7828ea4d821aaceedd431004c83a196cea8b38a,2018-06-13 20:20:50,6,2018,7,7.2
42,2018-08-13 00:00:00,7.3,87c1e3d93bf8a583932c11d4e1b740e91f80ffa0,2018-07-20 20:21:18,7,2018,7,7.3
43,2018-10-29 00:00:00,7.4,86937350807da2beb38dcd4216eafea0009fb99f,2018-08-03 20:21:25,8,2018,7,7.4
44,2018-12-20 00:00:00,7.5,cb851ba202973bd468e070572c1e3b0b0437d2f4,2018-12-18 09:56:40,12,2018,7,7.5
45,2019-01-28 00:00:00,7.6,c2edd480f08c8a692757df5ce6c89cddb566b666,2019-01-21 15:04:13,1,2019,7,7.6
46,2019-03-20 00:00:00,7.7,69bc562d207053ef21afd12c8bc9c5217b50227a,2019-03-19 16:29:12,3,2019,7,7.7
47,2019-06-19 00:00:00,7.8,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,2019-06-18 09:08:04,6,2019,7,7.8
48,2019-07-01 00:00:00,7.9,6502ec4ffee7e5a57498baaf330b80eb490d01c2,2019-07-01 07:56:26,7,2019,7,7.9
49,,7.9.1,6818fad17ba67e97d395a8488d5412e00892d5e1,2019-07-10 12:20:33,7,2019,7,7.9.1
50,,7.9.3,898a79cc7df01a9603c17f92b93e46ec62bc77d2,2020-03-24 07:49:27,3,2020,7,7.9.3
51,,7.9.4,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,2020-07-23 14:40:10,7,2020,7,7.9.4
52,2019-10-16 00:00:00,8.0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,2019-10-15 08:15:12,10,2019,8,8.0
53,2019-12-16 00:00:00,8.1.0.31237,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,2019-12-17 12:29:34,12,2019,8,8.1
54,2020-02-26 00:00:00,8.2.0.32929,749367809478e5b7f60c6ef952436db9789b5882,2020-02-25 14:32:24,2,2020,8,8.2
55,2020-04-30 00:00:00,8.3.0.34182,9c58e36328ae79ad3c36c13aa253879351ce3613,2020-04-28 13:54:13,4,2020,8,8.3
56,,8.3.1.34397,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,2020-05-07 12:09:22,5,2020,8,8.3.1
57,2020-07-07 00:00:00,8.4.0.35506,74b4533439f380827d68e8c01667eeaecad89fc7,2020-07-03 07:09:27,7,2020,8,8.4
58,,8.4.1.35646,a0d372f704998d38856c26e28662fd7de062f873,2020-07-14 08:13:18,7,2020,8,8.4.1
59,,8.4.2.36762,2de1f343e3dbd9e88007b42e475512677c04eb8a,2020-08-27 14:11:31,8,2020,8,8.4.2
